id,name,region,sport,sport_id,region_id
11024,CAF Confederations Cup,International,Soccer,1,490
10400,Cymru Championship South,Wales,Soccer,1,546
10032,Premier League,Botswana,Soccer,1,457
11331,Vysshaya Liga,Belarus,Soccer,1,453
11075,Botola,Morocco,Soccer,1,576
11007,Algerian Cup,Algeria,Soccer,1,445
10946,Gaza Strip Premier League,Palestine,Soccer,1,513
11359,PFL - Ural-Povolzhye,Russia,Soccer,1,523
10221,National League,Israel,Soccer,1,493
11787,PFL - West,Russia,Soccer,1,523
10259,Liga Premier Serie A - Clausura,Mexico,Soccer,1,505
10939,Kakkonen - Group C,Finland,Soccer,1,476
10048,Sergipano,Brazil,Soccer,1,458
10394,Major League Soccer,USA,Soccer,1,543
11741,Brasileiro Serie A2 - Women,Brazil,Soccer,1,458
12009,Suomen Cup,Finland,Soccer,1,476
10286,Sultan Cup,Oman,Soccer,1,512
10332,PrvaLiga,Slovenia,Soccer,1,530
11100,FA Cup,Ghana,Soccer,1,480
10105,League One,England,Soccer,1,474
10264,Eredivisie - Women,Netherlands,Soccer,1,506
10238,Premier League,Jamaica,Soccer,1,496
10391,Super Cup,United Arab Emirates,Soccer,1,541
11310,FA Cup,Republic of Korea,Soccer,1,521
10275,1st Division,Norway,Soccer,1,511
10925,Super Cup,Lithuania,Soccer,1,550
11338,Kvindeligaen - Women,Denmark,Soccer,1,470
10114,Premier League 2,England,Soccer,1,474
10139,DFB Pokal,Germany,Soccer,1,479
10154,A-Junioren-Bundesliga West,Germany,Soccer,1,479
10348,Tercera Federacion - Group 6,Spain,Soccer,1,532
10198,Arnold Clark Cup - Women,International,Soccer,1,490
10260,Liga Premier Serie B - Clausura,Mexico,Soccer,1,505
11684,U23 Friendly Games,International,Soccer,1,490
10253,Challenge League,Malta,Soccer,1,504
10152,DFB Pokal Women,Germany,Soccer,1,479
10175,Premier League,"Hong Kong, China",Soccer,1,485
10265,Tweede Divisie,Netherlands,Soccer,1,506
11603,Catarinense - Serie B,Brazil,Soccer,1,458
11329,Regionalliga Salzburg,Austria,Soccer,1,449
12002,Paulista - Women,Brazil,Soccer,1,458
10146,Hessenliga,Germany,Soccer,1,479
10383,3. Lig - Group 1,Turkiye,Soccer,1,538
10151,Schleswig-Holstein-Liga,Germany,Soccer,1,479
11992,U17 European Championship,International,Soccer,1,490
11357,Stars Cup,Qatar,Soccer,1,520
10100,Primera Division - Reserves - Clausura,El Salvador,Soccer,1,473
11125,First League,Kosovo,Soccer,1,499
10045,Paulista - Serie A3,Brazil,Soccer,1,458
10294,Puchar Polski,Poland,Soccer,1,518
11623,U20 Carioca - Serie A,Brazil,Soccer,1,458
10201,AFC Champions League,International,Soccer,1,490
10094,3rd Division,Denmark,Soccer,1,470
10076,HNL,Croatia,Soccer,1,467
10301,Campeonato Nacional - Women,Portugal,Soccer,1,519
10231,Campionato Primavera 2,Italy,Soccer,1,494
10303,Liga Portugal 3,Portugal,Soccer,1,519
10228,Serie D - Girone H,Italy,Soccer,1,494
11578,Federation Cup,Kuwait,Soccer,1,500
11227,Slovenia Cup,Slovenia,Soccer,1,530
10310,Premier League,Russia,Soccer,1,523
10940,NB I - Women,Hungary,Soccer,1,486
10936,FA Womens League Cup,England,Soccer,1,474
10136,Erovnuli Liga 2,Georgia,Soccer,1,478
12007,U23 Southeast Asian Games,International,Soccer,1,490
10213,UEFA Youth League,International,Soccer,1,490
10020,2nd Division,Bahrain,Soccer,1,451
10080,Cyprus Cup,Cyprus,Soccer,1,468
10119,FA Cup - Women,England,Soccer,1,474
10043,Paulista - Serie A2,Brazil,Soccer,1,458
10200,FIFA Club World Cup,International,Soccer,1,490
11686,MLS Next Pro,USA,Soccer,1,543
11070,Premier Division,Ireland,Soccer,1,492
9985,Kategoria Superiore,Albania,Soccer,1,444
10353,Tercera Federacion - Group 11,Spain,Soccer,1,532
11263,U20 Campeonato Brasileiro,Brazil,Soccer,1,458
10224,Serie B,Italy,Soccer,1,494
11850,Regionalliga West,Austria,Soccer,1,449
10358,Tercera Federacion - Group 16,Spain,Soccer,1,532
10166,Premier League,Ghana,Soccer,1,480
10308,Liga 2,Romania,Soccer,1,522
10926,Community Shield,Singapore,Soccer,1,558
11065,1. CFL,Montenegro,Soccer,1,577
10070,Primera B,Colombia,Soccer,1,464
10924,A Lyga,Lithuania,Soccer,1,550
11411,NM Cup Women,Norway,Soccer,1,511
10263,KNVB beker,Netherlands,Soccer,1,506
11291,U21 Allsvenskan,Sweden,Soccer,1,533
11786,PFL - Center,Russia,Soccer,1,523
10289,Division de Honor - Apertura,Paraguay,Soccer,1,515
10053,Sul-Mato-Grossense,Brazil,Soccer,1,458
9991,Second Divisio,Andorra,Soccer,1,446
11358,Romania Cup,Romania,Soccer,1,522
11413,U17 CONMEBOL Championship,International,Soccer,1,490
11326,Armenian Cup,Armenia,Soccer,1,578
12003,OFC Champions League,International,Soccer,1,490
11223,Premier League,Zanzibar,Soccer,1,582
10261,Eredivisie,Netherlands,Soccer,1,506
11617,Pervaya Liga,Belarus,Soccer,1,453
11614,Indian Super Cup,India,Soccer,1,488
11002,Copa Verde,Brazil,Soccer,1,458
10247,Premier League,Lebanon,Soccer,1,501
10320,League 2,Scotland,Soccer,1,527
10255,U20 Liga MX,Mexico,Soccer,1,505
10059,Campeonato Rondoniense,Brazil,Soccer,1,458
